Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Mask_Nplus_65_Generic,Layer,32,0,32,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NcellVt2_5N_Generic,Layer,223,0,223,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Ncap_50_Generic,Layer,39,0,39,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NWHV_5B_Generic,Layer,201,0,201,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NW1A_16_Generic,Layer,148,0,148,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NVT_29_Generic,Layer,19,0,19,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NSinker_48_Generic,Layer,122,0,122,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NRESI_5C_Generic,Layer,172,0,172,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NLDBODY_0V_Generic,Layer,40,28,40,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NLDBODY2_AM_Generic,Layer,49,28,49,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NH_AN_Generic,Layer,50,28,50,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NDVT_5V_Generic,Layer,247,0,247,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NDRIFT_BU_Generic,Layer,17,29,17,29,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NDRES_7K_JD,Layer,209,0,209,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_NBL_BQ_Generic,Layer,13,29,13,29,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MetalTop_98_Generic,Layer,53,0,53,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MetalRDL_9Y_Generic,Layer,171,0,171,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal9_A7_Generic,Layer,72,28,72,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal8_9V_Generic,Layer,139,0,139,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal7_9Q_Generic,Layer,128,0,128,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal6_9N_Generic,Layer,126,0,126,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal5_9E_Generic,Layer,81,0,81,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal4_96_Generic,Layer,46,0,46,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal3_93_Generic,Layer,42,0,42,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal2_88_Generic,Layer,36,0,36,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Metal1_80_Generic,Layer,34,0,34,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MVPVT_2E_Generic,Layer,206,0,206,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MVNVT_1L_Generic,Layer,205,0,205,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MTPCELL2_AE_Generic,Layer,57,28,57,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MTPCELL1_AD_Generic,Layer,56,28,56,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MIM_ALIGN_8L_Generic,Layer,235,0,235,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_UM3_A1_Generic,Layer,64,28,64,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_STRAP_AS_Generic,Layer,52,28,52,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_FL8_AV_Generic,Layer,73,28,73,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_FL4_A2_Generic,Layer,65,28,65,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_DOT_VIA_AU_Generic,Layer,54,28,54,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_METAL_DOT_AT_Generic,Layer,53,28,53,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MEMW1_52_Generic,Layer,38,28,38,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_MAGCORE_A3_Generic,Layer,68,28,68,28,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_M1Reverse_7L_Generic,Layer,245,0,245,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LVPWELL_18_Generic,Layer,204,0,204,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LVNwell_07_Generic,Layer,72,0,72,0,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LVESD_69_Generic,Layer,56,0,56,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LPN_58_Generic,Layer,9,0,9,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LNN_54_Generic,Layer,87,0,87,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_LI_78_Generic,Layer,17,0,17,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVoxide_46_Generic,Layer,51,0,51,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVaractor_5M_Generic,Layer,214,0,214,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVT_PLDD_6Z_Generic,Layer,189,0,189,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVT_NLDD_6Y_Generic,Layer,188,0,188,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVP_23_Generic,Layer,54,0,54,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVPVT_2F_Generic,Layer,208,0,208,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVPDDD_2D_Generic,Layer,197,0,197,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_HVN_62_Generic,Layer,59,0,59,0,NIL,NIL,NIL,NIL,,,,,,,,,
